FSC,NIIN,Nomenclature,part_number,cage_code,UI,Unit_Price,dss_weight,dss_cube,unit_pack_weight,unit_pack_cube,Imputed
2540,014358208,"BOW,VEHICULAR TOP","287E17, 12460216-1, 12460216, 2540002934730, 2540014358208","56442, 19207, A00AM",EA,31.76,8.4,0.257,8.4,0.257,No
2540,014792010,"CUSHION,SEAT BACK,V","3212041, ISO-100 REAR,RH","54979, 45152, 75Q65",EA,86.53,11.75,1.11,11.75,1.11,No
2540,014792011,"BACKREST,REAR LH","ISO-100 REAR, LH, 3212040","45152, 54979, 75Q65",EA,83,9.8,0.956,9.8,0.956,No
2540,014792016,"FRAME,SEAT,VEHICULA","88036A5000, 3212044","54979, 45152, 75Q65",EA,226.66,11.755,2.516,11.755,2.516,No
2540,014800371,"COVER,FITTED,VEHICU",3213613,"45152, 75Q65",EA,1375.39,54,6.816,54,6.816,No
2540,014802005,"RESERVOIR,WINDOW WA","9HB108, W-411-1","45152, 75Q65, 82484",EA,25.03,1.01,0.159,1.01,0.159,No
2540,014853188,"PROTECTOR,BACK REST","3239212, ISO-101-1FRONT","75Q65, 45152, 54979",EA,72.99,9.2,1.133,9.2,1.133,No
2540,014911436,"ADAPTER,PUMP UNIT","E-110-001, 9HA552","82484, 75Q65, 45152",EA,10.06,0.023,0.001,0.023,0.001,No
2540,015125968,"INSULATION,VEHICULA",3450795,"45152, 75Q65",EA,109.06,7.25,0.407,7.25,0.407,No
2540,015506773,WASHER BOTTLE,"E-001-023, 3367172","45152, 82484, 75Q65",EA,71.24,1.2,0.25,1.2,0.25,No
2541,015745930,"ARMOR,TRANSPARENT,V","21003A0336, 16KP949, 0256020027-00, 0256020047-00","01365, 45152, 535V1, 75Q65, 6W728",EA,8043.06,172,1.184,172,1.184,No
2541,015749928,"ARMOR,TRANSPARENT,V","0256020028-00, 21003A0335, 16KP948, 0256020048-00","45152, 6W728, 01365, 75Q65, 535V1",EA,8069.27,201,5.239,201,5.239,No
2541,015750886,"FRAME,ARMOR,VEHICUL","21003A0301, 16KP952, 0256040050-00, 0256040030-00","01365, 45152, 75Q65, 535V1, 6W728",EA,6847.45,214,5.703,214,5.703,No
2541,015750887,"FRAME,ARMOR,VEHICUL","17KP815, 21003A0300, 0256040051-00, 0256040031-00","45152, 01365, 75Q65, 535V1",EA,7656.04,197,1.146,197,1.146,No
2590,013294918,"BRACKET,VEHICULAR C",1973140,"45152, 75Q65",EA,8.79,0.26,0.001,0.26,0.001,No
2590,014804013,"DISC,COVER",3247403,"45152, 75Q65",EA,531.53,18,0.63,18,0.63,No
2920,011869581,"SWITCH,ENGINE START","1315480, 956-3135, 2920PL1607753","75Q65, 45152, 13445, 9009H",EA,24.9,0.42,0.01,0.42,0.01,No
2930,014253824,"TANK,RADIATOR,OVERF","062189AE, 062191, 1013370, 3772036","45152, 0E3E3, 00365, KC7A1, 75Q65",EA,42.92,1.73,0.774,1.73,0.774,No
2930,014730595,"CLUTCH,FAN,ENGINE","010027743, 1093-09062-01, 3009528","75418, 45152, 75Q65",EA,589.63,40,1.002,40,1.002,No
2930,014807471,"RADIATOR,ENGINE COO","3057860, 7HB384, X-6173","45152, 75Q65, 73540",EA,3149.07,300,34.722,300,34.722,No
2930,015670875,"RADIATOR,ENGINE COO",3762846,"75Q65, 45152",EA,4399.02,450,7.589,450,7.589,No
3030,014716854,"BELT,V","3363904, 81703216, 3072077","75Q65, 24161, 45152",EA,90.15,0.908,0.098,0.908,0.098,No
3040,015598729,"HOUSING,TURN SIGNAL","7HB417, 456116","75Q65, 1F337, 45152",EA,81.69,0.11,0.026,0.11,0.026,No
3130,015230864,"HOUSING,BEARING UNI","3195197, 12641026","45152, 19207, 75Q65",EA,18.46,5.52,0.145,5.52,0.145,No
4130,014181869,"FILTER KIT,AIR DRIE","DQ6021, DQ6032, DQ6020, 8HB193","06721, D9182, 45152, 75Q65",EA,36.46,0.297,0.04,0.297,0.04,No
4140,015344561,"BLOWER ASSEMBLY,HEA","031260381, 1KP127","75Q65, 5N978, 45152",EA,310.55,3.59,0.211,3.59,0.211,No
4330,014257701,"PARTS KIT,FLUID PRE","10015482, 6010000249, 1000518, 4330PL1592531, ME-4257701, DE 614432-1, 614432-1, HPQ98154-10MV, 2002314, SBF-2954K-6Z10V, 2 0059-772, 4330014257701, 251013, 0501 327 515, 454-6933, 25945779, 81.33001-6549, 81.33118.6005, 29540494, 29558329, 29526898, 29548988, 29506337, 29558118, 29545779, 105794, 45-10-510, 5HA614","3NNX8, FBD73, S9620, 1EFH8, 9009H, Z1DF2, 45152, QA313, K3825, 0NXZ9, A9271, 08832, AC90N, A00AM, 5ABR1, D8124, A486G, 0FW39, 076M6, QB546, 75Q65, U6407, D3273, A001G, 73342, 36MV0, 47P61, H0V27, U4542, S3465, Z3C29",KT,56.4,2.266,0.133,2.266,0.133,No
4330,014794561,"SEPARATOR,WATER,LIQ","660R-OTC-01, 3268850, 4330PL1592523","75Q65, 55752, 45152, 9009H",EA,116.25,2.96,0.173,2.96,0.173,No
4710,015346069,"TUBE ASSEMBLY,METAL","3386196, ADMT1117","45152, 3HEM8, 75Q65",EA,112.56,1.25,0.115,1.25,0.115,No
4730,009191803,"COUPLING,PIPE","4503264R1, 205465, 1220FX, 217-225, FF4183-0404-2S, SW24737, W05465, 129-B-04-24, 129-B-04X24, 129B1-4X1-1-2","92679, 06853, 75Q65, 45152, 10988, 01276, 98255, 79470, 30327",EA,3.35,0.16,0.001,0.16,0.001,No
4730,010919212,"ADAPTER,STRAIGHT,PI","4-4 100102BA, 11762FX, J246, SAE J246, SAE J246 4-4-100102BA, 4-4-100102BA, 68NTA-4-4, 310211-08, 4-468-F-04X04, A104-83, B104-81, SW24734, 744604435, 1468X4X4, 9032-1468X4X4, BC10008469, 001812V004, 10607909-2, 468-F 04X04","81343, 65459, 45152, 0U583, 93061, 01276, 36473, 09505, 03533, 98255, 076M6, 12361, 9L970, Z4117, 75Q65, 44185, 59556, 56161, 79470, 0FW39, 30327",EA,1.45,0.08,0.002,0.08,0.002,No
4730,011339868,"TEE,PIPE TO TUBE","63AX51103-R, 63AX51103, 016494V001, 9032-1472X4, 10608443-1, 272NTA-4-2, 1472X4, J246, 4-4-2 100425BA","79470, 89619, 59556, Z4117, 56161, 93061, Z0FG6, 01276, 81343, 0U583",EA,3.06,0.096,0.001,0.096,0.001,No
4730,011346991,"ELBOW,PIPE TO TUBE","FT1480X4, 9032-1480X4, 9032-WF1480X4, WF1480X4, 10519096, SAE-J246, 279NTA-4-2, 1565480, SAE J246 4-2 100302BA, J246, 1480X4","75Q65, Z4117, Z0FG6, 56161, 0U583, 93061, 45152, 81343, 79470",PG,3.99,0.116,0.001,0.116,0.001,No
4730,012274667,"ELBOW,PIPE TO TUBE","12-8 070302C, SAE-J514, 2023-8-12S, 12-8 VTX-S, SAE J514 12-8 070302C, 12-8VTX-S, 53979AX","81343, 01276, 30780, 0U583, 75Q65, 98441, 45152",EA,2.54,0.315,0.003,0.315,0.003,No
4730,013099978,"ELBOW,PIPE TO TUBE","6DTX-S, SAE J514 6-4 070203C, J514, SAE-J514, 30870AX, 2025-4-6S, 6-4-070203C","30780, 0U583, 45152, 75Q65, 01276, 81343",EA,1.21,0.15,0.001,0.15,0.001,No
4730,013675486,AIR DRIER AND COOLE,"1838920, N-50023-B, 4730013675486","75Q65, 45152, 06721, A00AM",EA,531.19,24.2,1.241,24.2,1.241,No
4730,013821646,"COUPLING,PIPE","1529480, 106-0066, 222P-8-8, 106-0-0366","45152, 0K3W1, 93061, 75Q65",EA,2.16,0.22,0.002,0.22,0.002,No
4730,014463253,"BUSHING,PIPE","112971A, 40534, 209P-4-2, VS209P-4-2, 32727802, 10554011-10, PRB-4-2","45152, 90411, 93061, 54939, 57498, 75Q65, 56161, 30780, Z0939",EA,0.5,0.025,0,0.025,0,No
4730,014730649,"COUPLING HALF,QUICK","441075, 3005302","0N972, 45152, 75Q65",EA,12.95,0.691,0.029,0.691,0.029,No
4730,014730650,"COUPLING HALF,QUICK","441074, 12640726, 3005303","0N972, 45152, 19207, 75Q65",EA,9.49,0.62,0.033,0.62,0.033,No
4730,014912023,"COUPLING HALF,QUICK","3355341, B35 N","75Q65, 45152, 97111, 45681",EA,22.5,0.429,0.003,0.429,0.003,No
4810,014791009,"VALVE,SOLENOID","3065606, B7141-036-DB","45152, 75Q65, 91510",EA,192.23,1.24,0.15,1.24,0.15,No
4810,014791062,"VALVE ASSEMBLY,MANI","3064940, N-4400-B","75Q65, 45152, 06721",EA,65.47,2,0.065,2,0.065,No
4820,001423036,"COCK,DRAIN","18431, 25450H, DX-3063, 12601232, 8185-5-13, 7759645, 45000-253-26, 5231-59-7, 16T1570, 87819, DCR601-4, L100385, L112624, 1212FX, 6B9763, 4820001423036, 4143P11, 101902, 232-0048, 121FX, 12-00030, 53399, 102143, 0798004, 301-SS-739, 55-2149, X-542-132, 1219-217, PGF-19332, 25-G-041, 10599, A9680, 1-C-0359, 076-00519, 5700, 1-C-2359, 25-G-241, 21552, 11-110-010089, 215310, R519, XX002-1627, 19-70090-200, 2082646, 1110188, 330-2023117, 912319, 3029259-1, 0215310, 373079, 278351, 103385, 9104082, 5159378, 049-90011-128, 805845","40152, 56442, 31007, 19207, 81336, 31245, 10988, 18925, 75Q65, A00AM, 11083, 27618, 09348, 93568, 45152, 14901, 30327, 0SAT8, 97907, 29510, 1X0J7, 04664, 81495, 62265, 49185, 51501, 75833, 1ML14, 93061, 06848, 66155, H2229, 09386, 89346, 28265, 83299, 89222, 79343, 89926, 92392, 65282, 06853, 30379, 02280, 19204, 55284, 59556",EA,8.2,0.25,0.005,0.25,0.005,No
4820,013679902,"VALVE,SAFETY RELIEF","3539755, KN31250, N-1178-BB, 6HD841, 2GL643","75Q65, 06721, 45152",EA,12.25,0.16,0.009,0.16,0.009,No
5305,009845680,"SCREW,MACHINE","MS35206-300, N81P23024C11, 5303009845680, 5305009845680, 640994-401, FFS92","96906, 03538, 24446, SCY13, D9182, 81348",HD,16.02,3.575,0.028,3.575,0.028,No
5305,011507735,"SCREW,CAP,HEXAGON H","22904, 12759-00121, 68099AX","45152, 0Y3H3, 75Q65",EA,1.23,0.02,0.001,0.02,0.001,No
5305,013409853,"SCREW,CAP,HEXAGON H","CSC6-24-56, 1721730, 6-73-412, SP-1013, 12640512","8R719, 45152, 72447, 75Q65, 7H161, 3D6E9, 78500, 19207",EA,0.74,0.025,0,0.025,0,No
5305,014787431,"SCREW,CAP,HEXAGON H","3266314, 2KP322, 5310000673-00","45152, 535V1, 75Q65",EA,0.75,0.002,0,0.002,0,No
5305,014790841,"SCREW,CAP,HEXAGON H","2KP319, 3273177, 5310000440-00","45152, 75Q65, 535V1",EA,1.08,0.05,0,0.05,0,No
5305,014970397,"SCREW,CAP,HEXAGON H","ASME B18.2.1, 1/4-20 X 3.50 GRADE 5 YELLOW ZI, 95017, 12759-00233, 52843AX","05047, 0Y3H3, 75Q65, 45152",PG,5.84,1.278,0.021,1.278,0.021,No
5310,006601819,"WASHER,LOCK","MS35333-48, 1234-00, XX002-9993, 12387269-48, FF-W-100","96906, 78189, H2229, 19207, 81348",EA,0.18,0.009,0.001,0.009,0.001,No
5310,012881116,"NUT,SELF-LOCKING,EX","1437220, 10823-00318, T893R, 017040517","45152, 75Q65, 0Y3H3, 82458, 5N978",EA,0.08,0.02,0,0.02,0,No
5310,014795887,"NUT,PLAIN,HEXAGON",60142AX,"45152, 75Q65",EA,2.35,0.4,0.001,0.4,0.001,No
5310,015098660,"NUT,SELF-LOCKING,HE","MIL-DTL-45913/1A, M45913/1-6CS6, MIL-DTL-45913/1, 001-010502R00, 12759-00221","81349, 02FP7, 0Y3H3",EA,1.72,0.005,0,0.005,0,No
5310,015175210,"WASHER,LOCK","33716, 12759-00312, 5EX79","75Q65, 0Y3H3, 45152",HD,5.02,0.406,0.005,0.406,0.005,No
5310,015755379,"WASHER,FLAT","16KP922, 0256020550-00","75Q65, 535V1, 45152",EA,19.9,0.01,0,0.01,0,No
5330,015334738,"SEAL,DOOR","9KK667, 5540000028-00","535V1, 75Q65, 45152, 6W728",EA,263.26,0.02,0.004,0.02,0.004,No
5340,008949542,"STRAP,WEBBING","3294638, 921005001, 502723-01, MS8690487, 8690487","45152, 75Q65, 0SHT0, 13160, Z16U3, 56101, 19207",EA,6.18,0.25,0.004,0.25,0.004,No
5340,012027445,"STRAP,WEBBING","5581464, 5340PL0818536, 12340208","34623, 9009H, 19207",EA,6.89,0.17,0.006,0.17,0.006,No
5340,014799215,"STRAP,WEBBING","3283788, 3351612","45152, 75Q65",EA,7.9,0.2,0.016,0.2,0.016,No
5340,014803991,"COVER,ACCESS","3258186, 3318905","45152, 75Q65",EA,8.54,0.1,0.002,0.1,0.002,No
5340,015361417,ROOF HATCH ASSEMBLY,"1KP220, 0259010022-00","6W728, 45152, 535V1, 75Q65",EA,2303.5,54,3.061,54,3.061,No
5340,015369572,BUMPER,"9KK126, 5340000098-00","45152, 535V1, 6W728, 42ND9, 75Q65",PG,172.42,0.63,0.017,0.63,0.017,No
